Match_Name, Venue,City,Country,Batting_team,Name ,Full_Name,Runs,Balls_faced,Minutes,Fours,Sixes,Strike_rate
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Mohammad Rizwan,Mohammad Rizwan,15,14,24,0,1,107.14
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Babar Azam,Babar Azam,32,28,58,2,0,114.28
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Mohammad Haris,Mohammad Haris,8,12,15,1,0,66.66
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Shan Masood,Shan Masood,38,28,46,2,1,135.71
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Iftikhar Ahmed,Iftikhar Ahmed,0,6,8,0,0,0
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Shadab Khan,Shadab Khan,20,14,26,2,0,142.85
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Mohammad Nawaz(3),Mohammad Nawaz,5,7,11,0,0,71.42
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Mohammad Wasim(1),Mohammad Wasim,4,8,12,0,0,50
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Shaheen Shah Afridi,Shaheen Shah Afridi,5,3,8,1,0,166.66
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,PAK,Haris Rauf,Haris Rauf,1,1,3,0,0,100
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,ENG,JC Buttler,Jos Buttler,26,17,33,3,1,152.94
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,ENG,AD Hales,Alex Hales,1,2,6,0,0,50
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,ENG,PD Salt,Phil Salt,10,9,16,2,0,111.11
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,ENG,BA Stokes,Ben Stokes,52,49,81,5,1,106.12
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,ENG,HC Brook,Harry Brook,20,23,36,1,0,86.95
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,ENG,MM Ali,Moeen Ali,19,12,30,3,0,158.33
ENG v PAK,Melbourne Cricket Ground,Melbourne,Australia,ENG,LS Livingstone,Liam Livingstone,1,2,3,0,0,50
ENG v INDIA,Adelaide Oval,Adelaide,Australia,INDIA,KL Rahul,KL Rahul,5,5,8,1,0,100
ENG v INDIA,Adelaide Oval,Adelaide,Australia,INDIA,RG Sharma,Rohit Sharma,27,28,37,4,0,96.42
ENG v INDIA,Adelaide Oval,Adelaide,Australia,INDIA,V Kohli,Virat Kohli,50,40,75,4,1,125
ENG v INDIA,Adelaide Oval,Adelaide,Australia,INDIA,SA Yadav,Suryakumar Yadav,14,10,14,1,1,140
ENG v INDIA,Adelaide Oval,Adelaide,Australia,INDIA,HH Pandya,Hardik Pandya,63,33,47,4,5,190.9
ENG v INDIA,Adelaide Oval,Adelaide,Australia,INDIA,RR Pant,Rishabh Pant,6,4,13,1,0,150
ENG v INDIA,Adelaide Oval,Adelaide,Australia,INDIA,R Ashwin,Ravichandran Ashwin,0,0,4,0,0,-
ENG v INDIA,Adelaide Oval,Adelaide,Australia,ENG,JC Buttler,Jos Buttler,80,49,74,9,3,163.26
ENG v INDIA,Adelaide Oval,Adelaide,Australia,ENG,AD Hales,Alex Hales,86,47,74,4,7,182.97
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,NZ,FH Allen,Finn Allen,4,3,6,1,0,133.33
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,NZ,DP Conway,Devon Conway,21,20,35,3,0,105
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,NZ,KS Williamson,Kane Williamson,46,42,81,1,1,109.52
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,NZ,GD Phillips,Glenn Phillips,6,8,9,1,0,75
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,NZ,DJ Mitchell,Daryl Mitchell,53,35,60,3,1,151.42
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,NZ,JDS Neesham,James Neesham,16,12,19,1,0,133.33
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,PAK,Mohammad Rizwan,Mohammad Rizwan,57,43,77,5,0,132.55
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,PAK,Babar Azam,Babar Azam,53,42,56,7,0,126.19
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,PAK,Mohammad Haris,Mohammad Haris,30,26,32,2,1,115.38
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,PAK,Shan Masood,Shan Masood,3,4,13,0,0,75
NZ v PAK,Sydney Cricket Ground,Sydney,Australia,PAK,Iftikhar Ahmed,Iftikhar Ahmed,0,0,3,0,0,-
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,INDIA,KL Rahul,KL Rahul,51,35,59,3,3,145.71
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,INDIA,RG Sharma,Rohit Sharma,15,13,20,2,0,115.38
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,INDIA,V Kohli,Virat Kohli,26,25,36,2,0,104
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,INDIA,SA Yadav,Suryakumar Yadav,61,25,44,6,4,244
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,INDIA,RR Pant,Rishabh Pant,3,5,7,0,0,60
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,INDIA,HH Pandya,Hardik Pandya,18,18,29,2,0,100
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,INDIA,AR Patel,Axar Patel,0,0,6,0,0,-
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,ZIM,W Madhevere,Wessly Madhevere,0,1,1,0,0,0
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,ZIM,CR Ervine,Craig Ervine,13,15,37,2,0,86.66
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,ZIM,RW Chakabva,Regis Chakabva,0,6,9,0,0,0
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,ZIM,SC Williams,Sean Williams,11,18,22,0,1,61.11
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,ZIM,Sikandar Raza,Sikandar Raza,34,24,53,3,0,141.66
INDIA v ZIM,Melbourne Cricket Ground,Melbourne,Australia,ZIM,T Munyonga,Tony Munyonga,5,4,6,1,0,125
